|CustomerID|LastLoginDate|LoginFrequency|ServiceUsage
0|1|2023-10-21|34|Mobile App
1|2|2023-12-05|5|Website
2|3|2023-11-15|3|Website
3|4|2023-08-25|2|Website
4|5|2023-10-27|41|Website
5|6|2023-09-17|2|Website
6|7|2023-01-07|32|Mobile App
7|8|2023-04-22|17|Online Banking
8|9|2023-06-27|24|Website
9|10|2023-01-13|29|Online Banking
10|11|2023-01-22|30|Online Banking
11|12|2023-12-31|43|Website
12|13|2023-07-05|10|Mobile App
13|14|2023-01-10|26|Online Banking
14|15|2023-06-15|44|Online Banking
15|16|2023-03-15|41|Online Banking
16|17|2023-09-03|8|Online Banking
17|18|2023-11-24|37|Website
18|19|2023-03-08|39|Online Banking
19|20|2023-08-15|16|Website
20|21|2023-06-16|18|Website
21|22|2023-05-06|42|Mobile App
22|23|2023-07-07|19|Mobile App
23|24|2023-10-04|12|Mobile App
24|25|2023-02-15|27|Mobile App
25|26|2023-09-29|45|Mobile App
26|27|2023-10-01|22|Mobile App
27|28|2023-10-26|42|Online Banking
28|29|2023-09-02|34|Website
29|30|2023-07-12|38|Website
30|31|2023-08-17|23|Online Banking
31|32|2023-01-06|48|Mobile App
32|33|2023-05-19|24|Mobile App
33|34|2023-04-03|44|Online Banking
34|35|2023-05-23|19|Mobile App
35|36|2023-02-11|6|Online Banking
36|37|2023-08-28|3|Online Banking
37|38|2023-11-27|47|Online Banking
38|39|2023-01-20|26|Online Banking
39|40|2023-10-14|20|Website
40|41|2023-07-04|38|Mobile App
41|42|2023-07-17|10|Mobile App
42|43|2023-05-25|25|Mobile App
43|44|2023-11-13|35|Mobile App
44|45|2023-09-02|49|Online Banking
45|46|2023-07-31|24|Online Banking
46|47|2023-04-19|21|Website
47|48|2023-06-12|34|Website
48|49|2023-02-19|18|Online Banking
49|50|2023-07-15|19|Online Banking
50|51|2023-10-31|3|Mobile App
51|52|2023-02-16|6|Mobile App
52|53|2023-10-02|20|Mobile App
53|54|2023-01-20|22|Online Banking
54|55|2023-08-18|33|Website
55|56|2023-08-20|14|Mobile App
56|57|2023-07-20|44|Online Banking
57|58|2023-04-17|9|Online Banking
58|59|2023-12-11|45|Online Banking
59|60|2023-03-02|25|Mobile App
60|61|2023-12-27|47|Website
61|62|2023-08-27|16|Mobile App
62|63|2023-05-26|7|Mobile App
63|64|2023-06-03|11|Online Banking
64|65|2023-09-25|27|Mobile App
65|66|2023-08-17|40|Online Banking
66|67|2023-07-23|17|Online Banking
67|68|2023-07-25|5|Website
68|69|2023-11-13|29|Mobile App
69|70|2023-03-15|10|Mobile App
70|71|2023-08-17|47|Online Banking
71|72|2023-04-25|25|Online Banking
72|73|2023-10-27|24|Online Banking
73|74|2023-02-19|44|Mobile App
74|75|2023-06-17|12|Mobile App
75|76|2023-05-09|5|Website
76|77|2023-10-15|29|Online Banking
77|78|2023-10-07|35|Mobile App
78|79|2023-04-20|23|Online Banking
79|80|2023-06-09|32|Mobile App
80|81|2023-12-03|40|Website
81|82|2023-05-08|19|Mobile App
82|83|2023-12-31|25|Mobile App
83|84|2023-11-30|45|Online Banking
84|85|2023-08-08|37|Mobile App
85|86|2023-10-18|1|Website
86|87|2023-11-22|43|Website
87|88|2023-02-08|13|Online Banking
88|89|2023-09-06|12|Mobile App
89|90|2023-05-30|47|Online Banking
90|91|2023-02-03|43|Mobile App
91|92|2023-07-01|37|Mobile App
92|93|2023-10-16|42|Mobile App
93|94|2023-06-27|41|Website
94|95|2023-06-20|12|Online Banking
95|96|2023-02-27|36|Mobile App
96|97|2023-12-20|38|Website
97|98|2023-05-23|9|Mobile App
98|99|2023-02-10|14|Online Banking
99|100|2023-06-02|45|Online Banking
100|101|2023-01-15|35|Online Banking
101|102|2023-01-14|32|Online Banking
102|103|2023-04-27|46|Mobile App
103|104|2023-03-23|3|Online Banking
104|105|2023-12-24|30|Website
105|106|2023-07-20|49|Mobile App
106|107|2023-01-27|7|Online Banking
107|108|2023-03-24|1|Mobile App
108|109|2023-04-28|20|Mobile App
109|110|2023-10-10|25|Website
110|111|2023-06-17|33|Website
111|112|2023-10-16|35|Website
112|113|2023-04-12|44|Online Banking
113|114|2023-08-02|24|Website
114|115|2023-09-21|14|Mobile App
115|116|2023-08-20|39|Mobile App
116|117|2023-12-25|44|Online Banking
117|118|2023-10-01|34|Online Banking
118|119|2023-03-29|18|Mobile App
119|120|2023-02-23|2|Online Banking
120|121|2023-09-09|38|Mobile App
121|122|2023-06-14|17|Mobile App
122|123|2023-03-15|23|Mobile App
123|124|2023-02-19|33|Website
124|125|2023-06-21|28|Online Banking
125|126|2023-05-14|15|Website
126|127|2023-01-18|11|Website
127|128|2023-07-07|23|Website
128|129|2023-03-21|13|Website
129|130|2023-02-25|47|Mobile App
130|131|2023-09-24|11|Website
131|132|2023-06-15|36|Website
132|133|2023-04-13|38|Mobile App
133|134|2023-01-05|27|Mobile App
134|135|2023-06-19|18|Mobile App
135|136|2023-11-07|40|Mobile App
136|137|2023-06-19|38|Online Banking
137|138|2023-03-20|34|Online Banking
138|139|2023-06-03|22|Website
139|140|2023-10-21|18|Mobile App
140|141|2023-06-28|41|Online Banking
141|142|2023-04-27|18|Mobile App
142|143|2023-12-25|13|Website
143|144|2023-02-18|39|Online Banking
144|145|2023-10-11|16|Online Banking
145|146|2023-12-12|8|Mobile App
146|147|2023-09-02|34|Mobile App
147|148|2023-03-09|29|Website
148|149|2023-02-17|6|Online Banking
149|150|2023-06-29|38|Mobile App
150|151|2023-06-02|36|Mobile App
151|152|2023-09-30|48|Mobile App
152|153|2023-01-26|42|Online Banking
153|154|2023-04-19|26|Mobile App
154|155|2023-04-08|18|Website
155|156|2023-06-30|11|Mobile App
156|157|2023-06-13|27|Mobile App
157|158|2023-10-03|30|Online Banking
158|159|2023-05-11|18|Website
159|160|2023-05-02|43|Online Banking
160|161|2023-07-24|4|Mobile App
161|162|2023-06-11|6|Mobile App
162|163|2023-01-13|22|Mobile App
163|164|2023-11-25|2|Website
164|165|2023-03-01|47|Mobile App
165|166|2023-08-03|48|Online Banking
166|167|2023-03-03|40|Website
167|168|2023-08-29|32|Website
168|169|2023-06-18|39|Mobile App
169|170|2023-10-12|21|Website
170|171|2023-05-04|8|Mobile App
171|172|2023-12-12|25|Website
172|173|2023-10-22|41|Mobile App
173|174|2023-03-09|36|Mobile App
174|175|2023-11-27|4|Website
175|176|2023-09-23|15|Website
176|177|2023-03-05|28|Website
177|178|2023-05-06|20|Website
178|179|2023-09-06|38|Website
179|180|2023-01-30|6|Online Banking
180|181|2023-04-22|30|Mobile App
181|182|2023-06-12|32|Online Banking
182|183|2023-04-21|49|Online Banking
183|184|2023-04-14|41|Online Banking
184|185|2023-10-23|4|Online Banking
185|186|2023-10-18|35|Mobile App
186|187|2023-01-09|30|Mobile App
187|188|2023-03-29|49|Mobile App
188|189|2023-06-21|41|Mobile App
189|190|2023-04-01|22|Website
190|191|2023-02-15|2|Website
191|192|2023-07-07|12|Website
192|193|2023-05-11|34|Website
193|194|2023-10-23|34|Website
194|195|2023-03-07|14|Website
195|196|2023-01-22|39|Website
196|197|2023-03-16|39|Online Banking
197|198|2023-06-21|45|Online Banking
198|199|2023-01-08|6|Website
199|200|2023-02-10|8|Online Banking
200|201|2023-08-14|27|Online Banking
201|202|2023-03-07|12|Mobile App
202|203|2023-04-16|21|Website
203|204|2023-05-08|38|Online Banking
204|205|2023-01-27|4|Mobile App
205|206|2023-11-27|25|Mobile App
206|207|2023-03-28|43|Website
207|208|2023-06-03|24|Online Banking
208|209|2023-10-12|12|Mobile App
209|210|2023-07-24|29|Online Banking
210|211|2023-03-03|35|Online Banking
211|212|2023-06-14|37|Website
212|213|2023-02-23|30|Website
213|214|2023-11-02|41|Online Banking
214|215|2023-11-07|42|Online Banking
215|216|2023-09-06|35|Mobile App
216|217|2023-08-14|1|Online Banking
217|218|2023-06-12|40|Mobile App
218|219|2023-07-18|26|Online Banking
219|220|2023-11-12|35|Online Banking
220|221|2023-06-16|42|Mobile App
221|222|2023-06-03|7|Website
222|223|2023-07-22|4|Online Banking
223|224|2023-05-16|5|Website
224|225|2023-07-15|39|Online Banking
225|226|2023-03-10|11|Mobile App
226|227|2023-11-08|15|Online Banking
227|228|2023-10-16|32|Website
228|229|2023-12-23|37|Website
229|230|2023-09-04|9|Online Banking
230|231|2023-02-20|47|Online Banking
231|232|2023-09-08|32|Online Banking
232|233|2023-09-18|33|Website
233|234|2023-06-19|23|Online Banking
234|235|2023-12-28|15|Mobile App
235|236|2023-09-25|30|Online Banking
236|237|2023-01-13|16|Online Banking
237|238|2023-09-20|22|Mobile App
238|239|2023-10-09|43|Mobile App
239|240|2023-07-27|30|Online Banking
240|241|2023-12-19|1|Mobile App
241|242|2023-02-16|35|Online Banking
242|243|2023-12-09|18|Website
243|244|2023-06-21|15|Online Banking
244|245|2023-05-18|21|Online Banking
245|246|2023-03-24|40|Mobile App
246|247|2023-12-24|2|Online Banking
247|248|2023-08-26|30|Online Banking
248|249|2023-02-06|40|Website
249|250|2023-01-09|32|Website
250|251|2023-03-24|28|Website
251|252|2023-08-11|11|Online Banking
252|253|2023-12-03|7|Online Banking
253|254|2023-08-25|1|Mobile App
254|255|2023-06-17|43|Mobile App
255|256|2023-08-26|28|Mobile App
256|257|2023-01-31|39|Website
257|258|2023-06-17|19|Mobile App
258|259|2023-03-16|39|Online Banking
259|260|2023-08-24|32|Website
260|261|2023-05-29|49|Online Banking
261|262|2023-02-04|30|Website
262|263|2023-12-28|2|Website
263|264|2023-03-08|44|Online Banking
264|265|2023-04-06|43|Online Banking
265|266|2023-01-07|37|Online Banking
266|267|2023-11-24|19|Online Banking
267|268|2023-12-19|26|Mobile App
268|269|2023-06-16|1|Mobile App
269|270|2023-04-12|42|Mobile App
270|271|2023-10-28|28|Online Banking
271|272|2023-07-16|26|Online Banking
272|273|2023-08-30|40|Mobile App
273|274|2023-01-24|35|Online Banking
274|275|2023-06-15|3|Website
275|276|2023-06-02|26|Online Banking
276|277|2023-07-06|33|Mobile App
277|278|2023-02-22|22|Online Banking
278|279|2023-04-12|6|Mobile App
279|280|2023-11-19|42|Online Banking
280|281|2023-12-15|34|Online Banking
281|282|2023-07-22|3|Online Banking
282|283|2023-09-20|17|Online Banking
283|284|2023-05-15|6|Mobile App
284|285|2023-08-31|42|Mobile App
285|286|2023-04-03|5|Website
286|287|2023-06-10|20|Website
287|288|2023-03-21|1|Website
288|289|2023-11-14|24|Mobile App
289|290|2023-09-15|9|Mobile App
290|291|2023-09-26|15|Website
291|292|2023-12-06|37|Website
292|293|2023-01-26|18|Mobile App
293|294|2023-03-19|22|Online Banking
294|295|2023-03-09|11|Website
295|296|2023-12-01|38|Mobile App
296|297|2023-10-06|3|Mobile App
297|298|2023-08-23|29|Website
298|299|2023-11-04|46|Mobile App
299|300|2023-10-15|32|Website
300|301|2023-10-02|34|Online Banking
301|302|2023-02-18|8|Website
302|303|2023-05-20|34|Online Banking
303|304|2023-04-28|5|Online Banking
304|305|2023-07-15|9|Mobile App
305|306|2023-05-03|17|Mobile App
306|307|2023-11-04|20|Mobile App
307|308|2023-10-23|42|Mobile App
308|309|2023-04-16|27|Online Banking
309|310|2023-07-05|5|Online Banking
310|311|2023-07-07|46|Mobile App
311|312|2023-06-23|29|Website
312|313|2023-06-19|11|Online Banking
313|314|2023-03-21|26|Mobile App
314|315|2023-10-09|23|Mobile App
315|316|2023-01-28|18|Mobile App
316|317|2023-06-02|20|Website
317|318|2023-09-11|44|Website
318|319|2023-03-12|21|Online Banking
319|320|2023-02-11|26|Online Banking
320|321|2023-10-30|32|Online Banking
321|322|2023-11-20|1|Online Banking
322|323|2023-03-10|2|Website
323|324|2023-02-23|4|Mobile App
324|325|2023-09-30|41|Online Banking
325|326|2023-03-26|10|Website
326|327|2023-08-27|28|Website
327|328|2023-04-17|49|Mobile App
328|329|2023-08-13|37|Online Banking
329|330|2023-09-18|17|Mobile App
330|331|2023-01-02|30|Website
331|332|2023-12-06|6|Website
332|333|2023-12-13|11|Website
333|334|2023-01-18|11|Online Banking
334|335|2023-12-27|2|Mobile App
335|336|2023-01-25|20|Mobile App
336|337|2023-08-26|34|Website
337|338|2023-12-04|41|Mobile App
338|339|2023-04-23|1|Website
339|340|2023-09-21|48|Mobile App
340|341|2023-07-05|27|Online Banking
341|342|2023-10-02|26|Online Banking
342|343|2023-07-26|26|Online Banking
343|344|2023-06-27|8|Mobile App
344|345|2023-09-08|29|Online Banking
345|346|2023-01-07|17|Online Banking
346|347|2023-07-20|33|Mobile App
347|348|2023-11-30|1|Online Banking
348|349|2023-08-20|24|Mobile App
349|350|2023-04-23|25|Online Banking
350|351|2023-07-23|1|Mobile App
351|352|2023-09-02|26|Website
352|353|2023-03-19|16|Online Banking
353|354|2023-07-13|49|Online Banking
354|355|2023-01-06|33|Website
355|356|2023-07-15|28|Mobile App
356|357|2023-09-10|45|Online Banking
357|358|2023-01-17|24|Mobile App
358|359|2023-05-03|36|Website
359|360|2023-03-26|14|Online Banking
360|361|2023-04-19|49|Mobile App
361|362|2023-08-14|5|Mobile App
362|363|2023-01-01|27|Online Banking
363|364|2023-08-28|14|Mobile App
364|365|2023-10-29|24|Online Banking
365|366|2023-01-16|46|Website
366|367|2023-09-16|28|Mobile App
367|368|2023-01-17|8|Online Banking
368|369|2023-02-07|35|Website
369|370|2023-06-22|47|Online Banking
370|371|2023-06-15|35|Website
371|372|2023-10-26|23|Website
372|373|2023-05-10|13|Online Banking
373|374|2023-12-25|47|Online Banking
374|375|2023-08-31|17|Website
375|376|2023-02-28|31|Website
376|377|2023-05-11|10|Online Banking
377|378|2023-08-22|36|Website
378|379|2023-07-24|29|Online Banking
379|380|2023-06-10|16|Mobile App
380|381|2023-07-18|33|Website
381|382|2023-03-01|14|Mobile App
382|383|2023-08-21|7|Online Banking
383|384|2023-12-26|33|Website
384|385|2023-08-24|3|Mobile App
385|386|2023-10-23|26|Website
386|387|2023-10-30|39|Website
387|388|2023-08-21|5|Online Banking
388|389|2023-04-04|23|Online Banking
389|390|2023-02-18|33|Mobile App
390|391|2023-07-21|30|Mobile App
391|392|2023-09-03|33|Mobile App
392|393|2023-12-04|43|Website
393|394|2023-07-11|25|Online Banking
394|395|2023-07-22|22|Online Banking
395|396|2023-05-07|1|Online Banking
396|397|2023-05-10|10|Online Banking
397|398|2023-10-09|23|Online Banking
398|399|2023-06-02|33|Website
399|400|2023-03-19|39|Online Banking
400|401|2023-08-22|28|Website
401|402|2023-08-11|43|Mobile App
402|403|2023-08-30|8|Online Banking
403|404|2023-10-28|27|Mobile App
404|405|2023-02-25|5|Online Banking
405|406|2023-12-29|15|Website
406|407|2023-08-25|48|Mobile App
407|408|2023-10-14|22|Online Banking
408|409|2023-01-20|35|Mobile App
409|410|2023-08-09|30|Online Banking
410|411|2023-09-20|48|Website
411|412|2023-12-31|44|Website
412|413|2023-03-16|33|Website
413|414|2023-09-04|30|Online Banking
414|415|2023-06-18|36|Online Banking
415|416|2023-04-23|16|Online Banking
416|417|2023-11-09|38|Website
417|418|2023-09-20|23|Online Banking
418|419|2023-02-07|37|Online Banking
419|420|2023-01-06|37|Website
420|421|2023-12-16|28|Mobile App
421|422|2023-10-04|14|Mobile App
422|423|2023-04-04|4|Mobile App
423|424|2023-09-24|39|Website
424|425|2023-11-03|33|Website
425|426|2023-09-10|31|Website
426|427|2023-08-14|13|Online Banking
427|428|2023-08-10|36|Mobile App
428|429|2023-01-11|10|Mobile App
429|430|2023-07-02|47|Online Banking
430|431|2023-05-26|31|Website
431|432|2023-12-16|26|Mobile App
432|433|2023-12-03|14|Mobile App
433|434|2023-11-09|4|Mobile App
434|435|2023-03-18|33|Online Banking
435|436|2023-09-18|47|Website
436|437|2023-09-20|13|Website
437|438|2023-04-20|48|Website
438|439|2023-02-20|41|Online Banking
439|440|2023-02-19|34|Online Banking
440|441|2023-10-28|43|Mobile App
441|442|2023-06-20|35|Mobile App
442|443|2023-06-08|28|Website
443|444|2023-12-06|31|Mobile App
444|445|2023-05-27|30|Online Banking
445|446|2023-10-13|32|Mobile App
446|447|2023-12-01|13|Website
447|448|2023-09-08|41|Mobile App
448|449|2023-05-11|34|Mobile App
449|450|2023-09-08|8|Website
450|451|2023-07-13|42|Mobile App
451|452|2023-10-18|25|Online Banking
452|453|2023-04-20|33|Online Banking
453|454|2023-07-13|10|Online Banking
454|455|2023-12-23|40|Website
455|456|2023-11-22|34|Mobile App
456|457|2023-06-14|44|Website
457|458|2023-01-10|33|Website
458|459|2023-03-13|5|Mobile App
459|460|2023-02-24|45|Online Banking
460|461|2023-07-15|27|Online Banking
461|462|2023-04-09|8|Online Banking
462|463|2023-04-17|7|Online Banking
463|464|2023-12-11|22|Website
464|465|2023-11-14|46|Website
465|466|2023-06-25|28|Online Banking
466|467|2023-12-17|9|Website
467|468|2023-12-23|31|Online Banking
468|469|2023-10-24|4|Mobile App
469|470|2023-06-09|5|Website
470|471|2023-01-10|13|Mobile App
471|472|2023-12-30|6|Mobile App
472|473|2023-01-17|23|Online Banking
473|474|2023-03-15|47|Online Banking
474|475|2023-05-08|35|Mobile App
475|476|2023-01-30|34|Mobile App
476|477|2023-11-20|38|Online Banking
477|478|2023-07-16|34|Mobile App
478|479|2023-09-03|11|Website
479|480|2023-06-09|6|Website
480|481|2023-07-19|32|Website
481|482|2023-01-25|35|Website
482|483|2023-03-23|34|Mobile App
483|484|2023-04-13|43|Mobile App
484|485|2023-09-15|28|Mobile App
485|486|2023-08-18|5|Online Banking
486|487|2023-10-11|34|Mobile App
487|488|2023-06-14|33|Mobile App
488|489|2023-11-23|12|Online Banking
489|490|2023-02-28|40|Online Banking
490|491|2023-11-30|44|Website
491|492|2023-01-06|38|Online Banking
492|493|2023-08-29|44|Online Banking
493|494|2023-10-08|12|Mobile App
494|495|2023-01-07|37|Online Banking
495|496|2023-12-29|1|Website
496|497|2023-08-30|40|Mobile App
497|498|2023-06-28|5|Website
498|499|2023-11-30|2|Mobile App
499|500|2023-11-22|46|Online Banking
